attn_type,dtype,"shape(B,Hq,M,Hkv,N,D)",cudnn_fwd_time,cudnn_fwd_TFlops,cudnn_fwd_mem_bw (TB/s),cudnn_bwd_time,cudnn_bwd_TFlops,cudnn_bwd_mem_bw (TB/s),flex_attn_fwd_time,flex_attn_fwd_TFlops,flex_attn_fwd_mem_bw (TB/s),flex_attn_bwd_time,flex_attn_bwd_TFlops,flex_attn_bwd_mem_bw (TB/s)
sliding_window,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",85152.77099609375,208.20960716241774,0.007880995910641418,353517.7917480469,125.3800049936663,0.0064898693688241384,3744.800090789795,304.57312745029594,0.17920546457219946,10126.463890075684,281.5803936371602,0.22656322215778454
document_mask,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",nan,,,nan,,,31946.91276550293,277.48573278468535,0.021006369063763124,54777.15301513672,404.5853066010186,0.04188396369132244
noop,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",24618.59130859375,1434.7616644488517,0.054518849725226914,82707.45849609375,1067.6730879105733,0.05532736402746703,60650.52795410156,582.382581550394,0.022129688318883525,173677.5665283203,508.43945692526063,0.026347592008976174
causal,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",13092.896461486816,1348.8921701246268,0.10251186847372225,44433.406829833984,993.6727105344257,0.1029852534496081,30897.151947021484,573.835849457742,0.043440161808486276,90712.06665039062,488.63106332027473,0.05044517044944091
alibi,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",nan,,,nan,,,34943.16864013672,507.39226359051304,0.0384102911164827,122430.71746826172,362.03931905283906,0.03737612388971137
sliding_window,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",81515.00701904297,433.31666565461205,0.01646540102347596,139309.05151367188,633.8750185022525,0.032847726793624105,4567.039966583252,497.54093996334615,0.29388341022207554,17735.679626464844,320.2991660992417,0.2580101670968279
document_mask,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",nan,,,nan,,,42510.337829589844,415.44966290197084,0.0315729619788098,133928.955078125,329.6692920296779,0.03416726174956478
noop,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",89.6959975361824,772.1230551013465,0.7481812549431652,252.9279887676239,684.5461032747631,0.8654251396475704,202.81599462032318,341.4737963721731,0.33088546160094295,603.2000184059143,287.03724110878176,0.3628816865398388
causal,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",57.34400078654289,603.8674202886505,1.1702856982338188,191.45600497722626,452.16881324927664,1.1432926328220265,135.80800592899323,270.915064515687,0.49414512451561693,484.3519926071167,189.9054574440673,0.4519238969613435
alibi,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",385.0240111351013,179.87539905322578,0.1742978672996374,1547.1999645233154,111.90594175934062,0.14147508080342996,413.59999775886536,88.9565640410146,0.16225547476701252,605.8880090713501,151.81202688097463,0.36127178079575306
sliding_window,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",357.37600922584534,193.79126147282355,0.18778223010932515,1087.1360301971436,159.26329761014568,0.20134576899296214,178.81600558757782,205.7558246371875,0.37529562177325587,497.6319968700409,184.83756530635895,0.4398636771283908
document_mask,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",nan,,,nan,,,323.68001341819763,106.9827372358023,0.20733088611589595,600.9600162506104,144.0535679896193,0.3642342819504969
noop,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",108.5439994931221,1271.1511002756338,1.2365283076611224,388.09600472450256,888.7995670165736,1.1259947092478024,299.23200607299805,461.0998208204393,0.44854068173194483,862.2080087661743,400.0653641035078,0.5068313487662235
causal,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",75.32799988985062,915.8335850265307,1.781777402775352,306.14399909973145,563.3616238997881,1.4274134044275095,198.94400238990784,368.4436616507842,0.6746507880993988,693.5039758682251,264.2366131074925,0.6301247912139362
alibi,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",376.8639862537384,366.11570597542425,0.356143682855471,677.6000261306763,509.0607255872181,0.6449144497460881,217.50399470329285,337.0037263177231,0.6170816686980511,884.0640187263489,207.28039811415798,0.4943013613760319
sliding_window,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",371.71199917793274,371.19012754267624,0.36107989060571616,637.2159719467163,541.3228420910386,0.685786400904184,202.04800367355347,362.7833750955014,0.6642863357207627,713.0240201950073,257.0027608745672,0.6128742309136864
document_mask,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",nan,,,nan,,,391.1679983139038,176.3638960481596,0.3431204203271588,1277.1519422531128,135.0424916362998,0.3421629279512885
noop,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",272.6399898529053,1016.0849504926285,0.49228922019991694,824.3200182914734,840.1633602389536,0.5310807335570541,702.5279998779297,394.32647615488,0.191049649299845,2047.2960472106934,338.282036651989,0.2138335003364302
causal,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",165.8879965543747,834.9772025283238,0.8090864365584534,564.191997051239,613.7657748600628,0.7759423782826922,399.6480107307434,357.41756042478346,0.3358398500585234,1369.312047958374,260.7901121533517,0.31970833868928916
alibi,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",1341.4720296859741,206.50851039872148,0.10005257286759763,5975.039958953857,115.90943010216417,0.0732682095864425,1297.7279424667358,110.07023302009343,0.10342516609827901,1724.735975265503,207.04794686330362,0.2538246353518595
sliding_window,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",1210.528016090393,228.84674035608097,0.11087535869965164,4436.160087585449,156.11778267834205,0.09868455406402588,428.0320107936859,257.8716107221302,0.31356937008314967,1173.2159852981567,235.20243809998277,0.37314568288015965
document_mask,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",nan,,,nan,,,852.3520231246948,162.50644280542323,0.15746748333858843,1495.0400590896606,231.6203744071267,0.292821906234785
noop,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",323.5839903354645,1705.595190181793,0.829569645030055,1260.543942451477,1094.5736974124661,0.6933420300289477,1089.8239612579346,506.4150882670656,0.24631084059682182,2839.51997756958,485.9124974429556,0.30779431132865964
causal,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",213.98399770259857,1289.590117628917,1.2544650949697636,846.8480110168457,814.6433751336717,1.0320483541675514,628.7680268287659,452.59161670047695,0.4269228786232538,1877.2159814834595,378.9856103386624,0.46557673950193834
alibi,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",1302.2079467773438,423.82117149709455,0.20613870209002655,2434.015989303589,566.8649055320179,0.3590724546760525,692.2240257263184,411.10265927769353,0.3877869678365226,2469.088077545166,288.13789631487373,0.3539720206615483
sliding_window,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",1252.3839473724365,440.6821875143964,0.21433958536692432,2300.6720542907715,599.7196520324311,0.37988382323765146,494.87999081611633,444.34807264961404,0.542425357625225,1644.3840265274048,334.31814978217204,0.5314987751648743
document_mask,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",nan,,,nan,,,1089.5359516143799,253.27447741317647,0.24637595079102773,3345.695972442627,206.19898747593996,0.26122759007355906
noop,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",1038.3679866790771,1067.156900620507,0.25851669104178954,2878.688097000122,962.3320806470416,0.30415277046249684,2563.231945037842,432.30639525742987,0.10472538644802082,7577.600002288818,365.58460529498035,0.11554594591104522
causal,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",555.0400018692017,998.2177488435603,0.483632630253663,1822.7200508117676,759.9230349954832,0.4803595371708671,1367.0719861984253,411.61535772873714,0.19635795240488355,4432.415962219238,317.3821170194625,0.19753582864583424
alibi,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",5301.248073577881,209.02654374748545,0.050636275132627306,22950.815200805664,120.70394370230271,0.038149449260924916,4556.863784790039,123.48576811056185,0.058907939468365825,5647.647857666016,249.0894611445146,0.15503108233129823
