attn_type,dtype,"shape(B,Hq,M,Hkv,N,D)",flex_attn_fwd_time,flex_attn_fwd_TFlops,flex_attn_fwd_mem_bw (TB/s),flex_attn_bwd_time,flex_attn_bwd_TFlops,flex_attn_bwd_mem_bw (TB/s)
document_mask,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",1789.8240089416504,154.17809091251064,0.14997868765808428,1283.6480140686035,537.4363644542902,0.6808627337254544
noop,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",1093.6319828033447,1013.2307575054315,0.24545318738019176,3350.4960536956787,826.8190326218538,0.26132278503484135
causal,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",902.2079706192017,633.2961874675768,0.2975316830949386,2169.75998878479,658.3272701235522,0.4035289453790566
alibi,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",1205.9520483016968,473.7873855769262,0.22259214732296279,2413.0239486694336,591.9593840034788,0.3628480191764335
sliding_window,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",471.3599979877472,578.5320562375949,0.5694913805710298,1266.3359642028809,538.3580593394388,0.6914128515264418
document_mask,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",3012.6399993896484,183.90872500406587,0.08910306443995439,2991.1038875579834,463.0821947447818,0.29272168166476864
noop,torch.bfloat16,"(4, 16, 8192, 16, 8192, 128)",1286.3999605178833,1716.1172713774429,0.4173436944011291,4444.3840980529785,1241.7992805297386,0.39329998340282146
causal,torch.bfloat16,"(4, 16, 8192, 16, 8192, 128)",960.5439901351929,1185.058219986144,0.5589238155812494,2692.095994949341,1057.0764873388368,0.6492993545844539
alibi,torch.bfloat16,"(4, 16, 8192, 16, 8192, 128)",1313.5679960250854,866.5714714522182,0.40871193088183866,2811.8720054626465,1012.0486894110172,0.621641450465808
sliding_window,torch.bfloat16,"(4, 16, 8192, 16, 8192, 128)",495.93600630760193,1095.4635307827061,1.082540701162578,1598.8800525665283,849.4693014024491,1.0932503593337988
document_mask,torch.bfloat16,"(4, 16, 8192, 16, 8192, 128)",3173.6960411071777,347.79845983200244,0.16916267501556542,3464.1599655151367,796.5903754879423,0.504588763048091
noop,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",4190.207958221436,1057.8010193444832,0.12812512346711277,13746.14429473877,806.1180929055993,0.12739004352443967
causal,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",2960.383892059326,760.3173712022391,0.18135178800291932,7665.664196014404,734.0627116598295,0.22843707671286434
alibi,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",3907.8080654144287,575.983073089158,0.13738415577558927,8593.376159667969,654.815772270048,0.2037757788631075
sliding_window,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",949.9520063400269,615.1367957328541,0.5651558272595846,2610.1760864257812,559.6848775058836,0.6708826768840265
document_mask,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",7009.439945220947,316.17406555384105,0.07659255463998088,9314.208030700684,594.8447569109322,0.18800545513135458
noop,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",5583.903789520264,1581.4120539019282,0.19229232172932006,20852.64015197754,1058.6732298905772,0.16765034827824737
causal,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",3245.759963989258,1381.560664445623,0.330813687984585,10314.94426727295,1086.8246536986696,0.3389211122634844
alibi,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",4188.159942626953,1070.6884058652622,0.25637555363430403,10424.287796020508,1075.4246189825692,0.3353660655200432
sliding_window,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",1007.9679489135742,1154.9682899092052,1.0652539350654149,3311.8081092834473,878.8031943764124,1.0556023382515345
