attn_type,dtype,"shape(B,Hq,M,Hkv,N,D)",cudnn_fwd_time,cudnn_fwd_TFlops,cudnn_fwd_mem_bw (TB/s),cudnn_bwd_time,cudnn_bwd_TFlops,cudnn_bwd_mem_bw (TB/s),flex_attn_fwd_time,flex_attn_fwd_TFlops,flex_attn_fwd_mem_bw (TB/s),flex_attn_bwd_time,flex_attn_bwd_TFlops,flex_attn_bwd_mem_bw (TB/s)
causal,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",1640.1280164718628,673.0002682634721,0.20458422551783564,5262.432098388672,524.3804454075424,0.2173892973080423,2628.3199787139893,426.5285742219714,0.12766494289792618,7858.335971832275,356.64470733318984,0.14557743778079546
alibi,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",6060.736179351807,364.2483561097859,0.0553636241655195,18929.759979248047,291.5532463914122,0.06043375178840716,2725.248098373413,411.3583544151852,0.12312432038766394,8369.952201843262,334.84467595678666,0.13667896642803584
sliding_window,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",6009.888172149658,367.3301610459693,0.05583204052863104,18541.759490966797,297.6542208979019,0.06169837423235556,1222.8800058364868,419.5813117224251,0.2743885895578754,3809.9520206451416,336.68245305167704,0.300265307752166
document_mask,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",nan,,,nan,,,3510.6561183929443,314.4160401495787,0.0955788059793223,12111.295700073242,227.84651254640838,0.0944569800234571
noop,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",8999.839782714844,492.49835069118797,0.037283365937741335,24023.040771484375,461.26615398469005,0.04775174612206757,10901.151657104492,406.5998152207446,0.0307806303915898,34243.19839477539,323.59756515532354,0.03349985392062629
causal,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",4534.304141998291,488.76366810262266,0.07400128211340581,12695.712089538574,436.40780231661427,0.09035666025738404,5557.792186737061,401.87130727521526,0.06037367154546231,17794.048309326172,313.8011616048854,0.06446774359934511
alibi,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",16645.503997802734,266.28248985774735,0.02015825534896949,41404.12902832031,267.63069007201227,0.027705984183735828,6627.871990203857,336.988586223329,0.050626252362137046,18618.94416809082,299.8984785984543,0.0616115572206277
sliding_window,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",16807.48748779297,263.71617130110565,0.019963978568700462,41371.84143066406,267.8395556129864,0.02772760661191549,1520.959973335266,362.8540724249206,0.22061351112626276,4929.471969604492,279.8912965338759,0.23271095790246252
document_mask,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",nan,,,nan,,,9786.56005859375,226.453739768338,0.034286237246901954,18731.647491455078,295.78326275718376,0.06124085692533442
noop,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",13591.487884521484,649.7046412874681,0.04937565671262981,40112.89596557617,550.349990197296,0.05703883444275614,19996.7041015625,441.5954107100083,0.03355996251140019,54618.97659301758,404.1842831647304,0.04189007144986481
causal,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",6490.943908691406,680.2133006227322,0.10338845157811472,21210.9432220459,520.3948657619067,0.10786850957301804,10395.615577697754,428.03817658765803,0.06455496886973397,28831.680297851562,385.8360222518472,0.07935690214248435
alibi,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",25347.07260131836,348.3815626155072,0.026475982081066638,73776.611328125,299.22941029719226,0.031012441352504555,10710.975646972656,415.4355759030846,0.06265429612751254,30424.543380737305,365.6357534030611,0.07520220774943814
sliding_window,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",25199.00894165039,350.4285736404701,0.026631548945196235,73758.6898803711,299.3021152795038,0.031019976571043842,2565.7598972320557,428.52600968084977,0.2615555106009612,7968.319892883301,344.95817981089886,0.2871361670662171
document_mask,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",nan,,,nan,,,12736.895561218262,346.64855019551493,0.05268855638915293,40531.742095947266,272.3313970712275,0.0564494076416413
noop,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",36507.999420166016,485.63671741746117,0.018381961505929828,95761.34490966797,462.85964902154467,0.02395835490995043,42660.99166870117,415.5933630322894,0.015730732309543416,138279.67834472656,320.5392363165729,0.016591622973553835
causal,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",18457.120895385742,480.2922703486323,0.03635933490405708,52462.75329589844,422.43362871869397,0.043731679026830034,21444.51141357422,414.99852811450484,0.03129419118288728,68926.0482788086,322.78945678016424,0.03328617185072804
alibi,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",nan,,,nan,,,25552.736282348633,348.2774045970009,0.02626288756650989,72677.43682861328,306.12804541230975,0.031568040758101344
sliding_window,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",67867.71392822266,261.23798742711404,0.009888186902976395,162526.71813964844,272.7186212954554,0.014116351540604378,3124.160051345825,365.07907936300103,0.2148061011505824,10012.44831085205,284.78685729937587,0.22914318424129357
document_mask,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",nan,,,nan,,,37206.1767578125,238.26184981725055,0.01803702230326812,70889.09149169922,312.629641331418,0.032364419401095725
noop,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",53560.12725830078,659.4795951839305,0.025059262341315454,158246.56677246094,558.0185997509255,0.028916808480146706,80532.50885009766,438.60313737464253,0.01666627923511379,219060.92834472656,403.104872571338,0.020889100117383656
causal,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",27372.512817382812,645.2058544634787,0.04903376204276194,83448.34899902344,529.0969124313855,0.05483614378102976,40308.7043762207,439.85272431141175,0.03329745524621204,114028.9306640625,388.7148053150115,0.040130041011093805
alibi,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",nan,,,nan,,,43138.49639892578,410.9993373293721,0.031113214229539592,118581.69555664062,373.79068814367105,0.03858930876742505
sliding_window,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",105121.05560302734,336.0108100102334,0.012767920492241966,309259.7351074219,285.5351589015857,0.014796577583598213,5228.70397567749,434.5798439525497,0.2566940653445756,16500.415802001953,344.2775904999177,0.2773254758492091
document_mask,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",nan,,,nan,,,48853.824615478516,361.5050747850034,0.027473330707761083,159141.1590576172,277.44088370560775,0.028754256228228553
noop,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",160.0320041179657,432.7656085400799,0.4193465199031782,471.5520143508911,367.17236667589015,0.46419108250721947,195.71200013160706,353.86868256125524,0.3428960102337745,641.3120031356812,269.97914942092376,0.34131629991289875
causal,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",103.04000228643417,336.06534409558145,0.6512894265418245,343.7120020389557,251.86910566535371,0.6368420034840431,135.6479972600937,271.2346325132511,0.4947280118800749,417.63201355934143,220.24433887640748,0.5241222724629511
alibi,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",284.7360074520111,243.23003004694564,0.23568801361138142,773.9199995994568,223.71933689478143,0.2828331611966184,151.64799988269806,242.61734224295398,0.44253049200721206,438.6880099773407,209.6731267507198,0.49896563165997226
sliding_window,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",281.15200996398926,246.33061544489954,0.23869245682645301,710.8160257339478,243.5804242612914,0.3079421848627942,137.1839940547943,268.19772190992114,0.48918873125384615,417.1519875526428,220.49777890220975,0.5247253915394013
document_mask,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",nan,,,nan,,,279.07198667526245,124.08330279418016,0.2404715170429848,632.2240233421326,136.929998487501,0.346222591863685
noop,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",213.15200626850128,647.3118728715879,0.6296808101863697,745.4400062561035,462.7328263375933,0.5862229613819067,346.560001373291,398.12968558763873,0.3872856863692984,1094.1760540008545,315.250511742355,0.39938184207388877
causal,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",142.84799993038177,482.94629414217815,0.9395842298485957,532.1279764175415,324.1133488998692,0.8212198331348523,219.04000639915466,334.64049745518486,0.612754401382806,712.1599912643433,257.31456977057366,0.6136178012811089
alibi,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",425.2159893512726,324.4840924126624,0.31564600429247314,1383.6159706115723,249.30296287887833,0.31583478167489226,227.6799976825714,321.9415734806597,0.5895016223037944,755.2319765090942,242.6395431600126,0.5786222797661664
sliding_window,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",407.584011554718,338.52118942962215,0.329300767927648,1301.9839525222778,264.9338037475526,0.335637046181276,214.9440050125122,341.01745103211005,0.6244311302945481,724.9280214309692,252.7825333586581,0.6028102585100754
